,n_rounds,utt_Listener-Win,utt_none,numPins,numColors,speakerStrategy,listenerStrategy,utt_some,utt_many
0,2,1,1.0,4,2,stochasticUncoop,greedyCoop,0.0,0.0
1,2,1,0.0,4,2,stochasticUncoop,greedyCoop,1.0,0.0
2,3,1,0.0,4,2,stochasticUncoop,greedyCoop,2.0,0.0
3,3,1,0.0,4,2,stochasticUncoop,greedyCoop,1.0,1.0
4,4,1,0.0,4,2,stochasticUncoop,greedyCoop,3.0,0.0
5,4,1,0.0,4,2,stochasticUncoop,greedyCoop,2.0,1.0
6,6,1,0.0,4,2,stochasticUncoop,greedyCoop,4.0,1.0
7,6,1,1.0,4,2,stochasticUncoop,greedyCoop,4.0,0.0
8,5,1,0.0,4,2,stochasticUncoop,greedyCoop,4.0,0.0
9,8,1,0.0,4,2,stochasticUncoop,greedyCoop,7.0,0.0
10,7,1,0.0,4,2,stochasticUncoop,greedyCoop,6.0,0.0
11,5,1,1.0,4,2,stochasticUncoop,greedyCoop,3.0,0.0
12,6,1,0.0,4,2,stochasticUncoop,greedyCoop,4.0,1.0
13,4,1,1.0,4,2,stochasticUncoop,greedyCoop,2.0,0.0
14,3,1,1.0,4,2,stochasticUncoop,greedyCoop,1.0,0.0
15,1,1,0.0,4,2,stochasticUncoop,greedyCoop,0.0,0.0
